time,joint1,joint2,joint3,joint4,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,x,y,z,pitch
1.36,-0.0028321151764062235,-1.2424346051984334,1.0233136560694118,0.404421016040242,0.00032466704279067926,0.23240888523898598,-0.15394847253088476,-0.15702160541730883,0.2941387229079987,-0.0008330369683465244,-0.029319942820100434,0.18530006691122042
1.3800000000000001,-0.002825583965398655,-1.237759318614115,1.02021672960053,0.401262268454061,0.0003284492642760597,0.2351163416891035,-0.15574190131701263,-0.1588508347858751,0.2947955353756765,-0.0008329717546244048,-0.029138462934951252,0.18371967944047607
1.4000000000000001,-0.0028189773975827847,-1.2330300887910188,1.0170840709383426,0.3980670753854036,0.0003322027236208669,0.2378032091167867,-0.1575216918614209,-0.16066615366494658,0.29545833939981,-0.0008328925869273061,-0.028952146955772303,0.1821210575327274
1.42,-0.002812296048201424,-1.228247327509593,1.0139159528476847,0.3948357150440598,0.0003359274208251008,0.24046948752203548,-0.15928784416410952,-0.16246756205452323,0.296127009435297,-0.0008327990139400654,-0.028760921661562616,0.18050434038215135
1.44,-0.0028055404924973845,-1.223411446550287,1.01071264809339,0.39156846563981934,0.00033962335588876155,0.24311517690484996,-0.1610403582250786,-0.1642550599546051,0.29680141899927265,-0.0008326905839527644,-0.02856471411074062,0.17886966718292224
1.46,-0.0027987113057134773,-1.2185228576935487,1.0074744294402929,0.38826560538247223,0.0003432905288118491,0.24574027726523007,-0.16277923404432804,-0.16602864736519218,0.29748144067631466,-0.0008325668450342275,-0.028363451679931217,0.17721717712921636
1.48,-0.0027918090630925144,-1.2135819727198272,1.0042015696532283,0.3849274124818083,0.0003469289395943633,0.24834478860317583,-0.16450447162185788,-0.16778832428628443,0.2981669461241794,-0.0008324273452063653,-0.028157062102598187,0.1755470094152094
1.5,-0.0027848343398773068,-1.2085892034095713,1.0008943414970302,0.3815541651476175,0.00035053858823630435,0.25092871091868724,-0.16621607095766813,-0.16953409071788192,0.29885780608007656,-0.0008322716326193382,-0.02794547350751097,0.1738593032350763
1.52,-0.002777787711310666,-1.2035449615432294,0.9975530177365329,0.3781461415896896,0.00035411947473767215,0.25349204421176436,-0.16791403205175875,-0.1712659466599846,0.29955389036749275,-0.0008320992557275143,-0.027728614457037313,0.17215419778299312
1.54,-0.0027706697526354036,-1.1984496589012503,0.9941778711365712,0.3747036200178147,0.0003576715990984667,0.256034788482407,-0.1695983549041298,-0.17298389211259246,0.3002550679035712,-0.0008319097634661834,-0.02750641398525536,0.17043183225313557
1.56,-0.0027634810390943314,-1.1933037072640826,0.9907691744619792,0.37122687864178255,0.000361194961318688,0.2585569437306154,-0.17126903951478123,-0.17468792707570555,0.3009612067070576,-0.0008317027054289992,-0.027278801635873904,0.16869234583967913
1.58,-0.0027562221459302596,-1.1881075184121752,0.9873272004775915,0.3677161956713831,0.0003646895613983361,0.26105850995638935,-0.17292608588371308,-0.1763780515493238,0.3016721739068165,-0.0008314776320461074,-0.02704570749995289,0.16693587773679935
1.6,-0.0027488936483860017,-1.1828615041259767,0.9838522219482421,0.3641718493164062,0.0003681553993374109,0.263539487159729,-0.17456949401092528,-0.17805426553344728,0.3023878357509288,-0.0008312340947629239,-0.026807062253414497,0.1651625671386716
1.62,-0.002741496121704367,-1.1775660761859355,0.9803445116387659,0.36059411778664185,0.0003715924751359125,0.2659998753406343,-0.17619926389641793,-0.17971656902807592,0.30310805761637494,-0.0008309716462195179,-0.026562797194334856,0.1633725532394723
1.6400000000000001,-0.0027340301411281688,-1.1722216463725008,0.9768043423139969,0.3569832792918798,0.0003750007887938409,0.2684396744991052,-0.17781539554019093,-0.18136496203320984,0.30383270401931034,-0.0008306898404305587,-0.02631284428000792,0.1615659752333759
1.6600000000000001,-0.0027264962819002177,-1.1668286264661207,0.9732319867387696,0.35333961204191006,0.0003783803403111961,0.2708588846351418,-0.17941788894224436,-0.1829994445488489,0.3045616386259393,-0.0008303882329657739,-0.026057136163768587,0.15974297231455897
1.68,-0.002718895119263325,-1.1613874282472447,0.9696277176779187,0.34966339424652254,0.000381731129687978,0.27325750574874397,-0.18100674410257817,-0.18462001657499316,0.3052947242639918,-0.0008300663811308751,-0.02579560623156883,0.15790368367719648
1.7,-0.0027112272284603024,-1.1558984634963207,0.9659918078962781,0.345954904115507,0.00038505315692418665,0.27563553783991185,-0.1825819610211924,-0.18622667811164262,0.30603182293480935,-0.0008297238441488956,-0.025528188638292024,0.1560482485154644
1.72,-0.002703493184733961,-1.1503621439937979,0.9623245301586824,0.3422144198586534,0.0003883464220198221,0.2779929809086454,-0.18414353969808697,-0.18781942915879726,0.30677279582604217,-0.0008293601833418864,-0.02525481834379871,0.1541768060235379
1.74,-0.002695693563327113,-1.1447788815201245,0.958626157229966,0.3384422196857517,0.0003916109249748843,0.28032983495494457,-0.18569148013326198,-0.18939826971645712,0.3075175033249642,-0.0008289749623129151,-0.02497543114868974,0.15228949539559322
1.76,-0.0026878289394825696,-1.1391490878557495,0.9548969618749634,0.33463858180659184,0.0003948466657893732,0.28264609997880935,-0.18722578232671738,-0.1909631997846222,0.3082658050324063,-0.0008285677471283063,-0.024689963729778483,0.15038645582580573
1.78,-0.0026798998884431423,-1.1334731747811215,0.9511372168585088,0.3308037844309635,0.00039805364446328893,0.2849417759802398,-0.1887464462784532,-0.19251421936329244,0.30901755977731343,-0.000828138106500066,-0.024398353675258663,0.14846782650835078
1.8,-0.002671906985451642,-1.1277515540766894,0.9473471949454367,0.3269381057686568,0.00040123186099663146,0.2872168629592359,-0.19025347198846937,-0.19405132845246795,0.30977262563192587,-0.0008276856119684238,-0.024100539519557807,0.14653374663740415
1.82,-0.0026638508057508807,-1.1219846375229017,0.9435271689005815,0.32304182402946136,0.00040438131538940073,0.2894713609157976,-0.19174685945676595,-0.1955745270521486,0.3105308599275878,-0.0008272098380844291,-0.023796460777864528,0.1445843554071412
1.84,-0.0026557319245836698,-1.116172836900207,0.9396774114887775,0.3191152174231674,0.0004075020076415968,0.29170526984992506,-0.19322660868334296,-0.19708381516233447,0.31129211927118466,-0.0008267103625925338,-0.02348605798031772,0.1426197920117378
1.86,-0.0026475509171928206,-1.1103165639890542,0.9357981954748592,0.31515856415956467,0.0004105939377532196,0.29391858976161805,-0.19469271966820034,-0.19857919278302552,0.312056259562209,-0.0008261867666130911,-0.023169272705846115,0.14064019564536967
1.8800000000000001,-0.002639308358821145,-1.104416230569892,0.931889793623661,0.311172142448443,0.00041365710572426913,0.29611132065087675,-0.1961451924113381,-0.20006065991422178,0.3128231360104572,-0.0008256386348247016,-0.022846047615646507,0.13864570550221206
1.9000000000000001,-0.002631004824711454,-1.0984722484231688,0.9279524787000172,0.3071562304995924,0.00041669151155474535,0.2982834625177011,-0.19758402691275626,-0.20152821655592323,0.3135926031543551,-0.0008250655556463304,-0.022516326486287985,0.13663646077644076
1.92,-0.002622640890106559,-1.0924850293293336,0.9239865234687622,0.30311110652280276,0.0004196971552446485,0.30043501536209105,-0.19900922317245484,-0.2029818627081299,0.31436451487991374,-0.0008244671214191244,-0.022180054242430643,0.1346126006622314
